ID,BLOCK,TREAT,Genotypes,GENOTYPE,Experiment,EMR.7DAP,EMR.9DAP,EMR.12DAP,NSTM.14DAP,HGT.16DAP,NLEAF.28DAP,NSTM.28DAP,HGT.28DAP,VGR.28DAP,DSTM.28DAP,SPAD.29DAP,HGT.41DAP,VGR.41DAP,NLEAF.41DAP,NSTM.41DAP,DSTM.42DAP,HGT.54DAP,SPAD.59DAP,HGT.70DAP,VGR.75DAP,STRS.75DAP,SPAD.76DAP,DSTEM.76DAP,STRS.83DAP,PRCT.83DAP,SPAD.83DAP,DSTM.84DAP,RWC.84DAP,DRWC,OP.84DAP,HGT.86DAP,LEAFFW,LEAFDW,STEMFW,STEMDW,ROOTFW,ROOTDW,TUBFW,TUBDW,NTUB,root:shoot,TUBDM,BIOMFW,BIOMDW,HI,TDWS,TTRNS,WUE,TWUE,TWA,FTSW,LA,LAR,SLA,RLG,ROOTMS,STOLMS
760,V,wellwater,4,CIP398192.213,LM06092013,1.00,1.00,1.00,2.00,11.00,13.00,1.00,37.00,1.00,0.43,48.90,73.00,1.00,25.00,1.00,4.83,109.00,42.20,143.00,3.00,1.00,41.10,6.09,1.00,5.00,41.30,6.06,70.73,11.17,-1.67,150.00,174.04,14.29,188.71,13.80,22.62,1.70,182.65,28.16,8.00,0.92,15.42,568.02,57.95,0.49,69.03,6.42,9.03,4.39,6.22,0.79,6540,113,458,30,5,5
763,I,drydown,5,CIP398180.612,,1.00,1.00,1.00,1.00,17.00,16.00,2.00,49.00,3.00,0.83,59.80,72.00,5.00,29.00,2.00,7.26,105.00,51.10,124.00,5.00,1.00,47.10,7.11,5.00,7.00,44.70,6.73,51.96,,-2.73,124.00,134.26,16.20,105.33,12.23,91.20,8.75,78.07,18.67,8.00,0.77,23.91,408.86,55.85,0.33,,6.57,8.50,2.84,3.86,-0.02,3192,57,197,40,9,7
765,I,wellwater,5,CIP398180.612,,1.00,1.00,1.00,3.00,15.00,25.00,3.00,44.00,3.00,0.73,57.80,74.00,3.00,42.00,3.00,8.03,102.00,46.20,152.00,5.00,1.00,41.40,7.20,3.00,5.00,42.70,7.77,70.48,26.28,-2.27,163.00,258.60,21.38,262.00,16.27,81.54,4.69,137.86,23.81,16.00,1.02,17.27,740.00,66.15,0.36,78.41,7.94,8.33,3.00,7.74,0.77,8257,125,386,35,7,7
767,II,drydown,5,CIP398180.612,,1.00,1.00,1.00,2.00,12.00,21.00,2.00,45.00,5.00,0.78,59.50,73.00,5.00,38.00,2.00,8.03,110.00,46.80,132.00,5.00,3.00,46.90,7.24,7.00,7.00,45.70,6.36,45.11,,-3.27,132.00,64.78,13.03,107.03,12.34,57.19,6.17,69.11,16.10,15.00,0.70,23.30,298.11,47.64,0.34,,5.61,8.49,2.87,2.92,-0.05,,,,40,7,5
768,III,drydown,5,CIP398180.612,,0.00,1.00,1.00,1.00,15.00,14.00,1.00,45.00,3.00,0.78,55.60,67.00,3.00,21.00,1.00,7.17,94.00,40.90,124.00,5.00,1.00,47.80,8.01,3.00,5.00,44.90,7.84,66.65,,-2.40,124.00,111.94,11.39,100.76,7.79,71.58,5.05,59.66,12.25,10.00,0.89,20.53,343.94,36.48,0.34,,3.37,10.82,3.63,0.92,0.03,,,,40,7,7
769,II,wellwater,5,CIP398180.612,,1.00,1.00,1.00,1.00,19.00,13.00,1.00,45.00,3.00,0.70,60.70,71.00,3.00,27.00,1.00,7.32,100.00,48.20,152.00,5.00,1.00,44.20,8.32,1.00,5.00,41.10,8.17,65.65,31.29,-2.30,165.00,305.17,23.80,282.95,18.97,79.62,5.01,121.09,22.03,9.00,0.99,18.19,788.83,69.81,0.32,73.08,9.25,7.55,2.38,9.05,0.76,9744,140,409,35,7,7
770,III,wellwater,5,CIP398180.612,,0.00,1.00,1.00,1.00,12.00,13.00,1.00,37.00,5.00,0.76,54.80,62.00,5.00,23.00,1.00,8.54,97.00,46.40,150.00,7.00,1.00,44.80,9.13,1.00,5.00,42.20,8.79,64.30,-3.65,-2.07,157.00,264.55,24.04,247.89,17.36,67.09,4.73,136.60,25.72,12.00,1.09,18.83,716.13,71.85,0.36,47.63,7.67,9.37,3.36,7.47,0.74,7181,100,299,40,7,7
771,IV,wellwater,5,CIP398180.612,,1.00,1.00,1.00,1.00,21.00,13.00,1.00,50.00,5.00,0.85,64.40,80.00,5.00,31.00,1.00,8.60,117.00,49.50,146.00,7.00,1.00,47.30,10.07,1.00,5.00,43.50,9.84,67.98,16.74,-2.17,156.00,289.29,22.93,291.66,19.83,100.83,6.44,154.20,27.44,17.00,0.87,17.80,835.98,76.64,0.36,55.58,9.36,8.19,2.93,9.16,0.78,9430,123,411,40,7,7
773,IV,drydown,5,CIP398180.612,,1.00,1.00,1.00,1.00,13.00,12.00,1.00,40.00,5.00,0.78,59.50,67.00,5.00,38.00,1.00,7.50,97.00,51.30,123.00,5.00,1.00,55.70,7.82,5.00,5.00,50.80,8.23,56.60,,-3.37,121.00,122.35,14.40,113.63,11.52,53.66,4.98,69.59,15.25,15.00,0.87,21.91,359.23,46.15,0.33,,4.69,9.85,3.26,2.16,0.03,3062,66,213,40,7,7
774,V,drydown,5,CIP398180.612,,1.00,1.00,1.00,2.00,18.00,20.00,2.00,48.00,3.00,0.85,61.10,72.00,5.00,35.00,2.00,8.03,98.00,49.50,123.00,5.00,1.00,47.10,7.86,5.00,5.00,45.70,7.57,62.85,,-3.17,120.00,130.63,15.03,112.63,11.82,65.99,6.00,92.34,21.13,16.00,0.84,22.88,401.59,53.98,0.39,,4.72,11.44,4.48,2.11,0.02,3146,58,209,42,7,5
