ID,BLOCK,TREAT,Genotypes,GENOTYPE,Experiment,EMR.7DAP,EMR.9DAP,EMR.12DAP,NSTM.14DAP,HGT.16DAP,NLEAF.28DAP,NSTM.28DAP,HGT.28DAP,VGR.28DAP,DSTM.28DAP,SPAD.29DAP,HGT.41DAP,VGR.41DAP,NLEAF.41DAP,NSTM.41DAP,DSTM.42DAP,HGT.54DAP,SPAD.59DAP,HGT.70DAP,VGR.75DAP,STRS.75DAP,SPAD.76DAP,DSTEM.76DAP,STRS.83DAP,PRCT.83DAP,SPAD.83DAP,DSTM.84DAP,RWC.84DAP,DRWC,OP.84DAP,HGT.86DAP,LEAFFW,LEAFDW,STEMFW,STEMDW,ROOTFW,ROOTDW,TUBFW,TUBDW,NTUB,root:shoot,TUBDM,BIOMFW,BIOMDW,HI,TDWS,TTRNS,WUE,TWUE,TWA,FTSW,LA,LAR,SLA,RLG,ROOTMS,STOLMS
808,I,wellwater,8,CIP398190.89,,0.00,0.00,1.00,2.00,4.00,19.00,3.00,43.00,1.00,0.53,53.30,84.00,3.00,32.00,3.00,5.60,120.00,36.50,140.00,3.00,1.00,38.60,6.42,1.00,5.00,37.50,5.96,70.02,27.82,-2.53,147.00,154.29,12.40,199.82,11.19,21.18,1.55,159.51,19.44,6.00,0.97,12.19,534.80,44.58,0.44,109.88,5.68,7.85,3.42,5.48,0.81,6164,138,497,28,5,3
809,II,wellwater,8,CIP398190.89,,0.00,1.00,1.00,1.00,5.00,10.00,1.00,48.00,5.00,0.78,56.00,91.00,5.00,26.00,1.00,8.27,117.00,45.10,143.00,5.00,1.00,41.70,7.93,3.00,5.00,39.80,7.92,64.62,17.14,-2.03,150.00,245.35,10.20,141.85,8.20,12.51,1.02,161.06,26.29,12.00,1.11,16.32,560.77,45.71,0.58,86.57,5.41,8.45,4.86,5.21,0.85,5171,113,507,25,1,1
810,III,wellwater,8,CIP398190.89,,0.00,0.00,1.00,1.00,4.00,11.00,1.00,46.00,3.00,0.85,55.20,90.00,5.00,21.00,1.00,8.57,123.00,46.70,160.00,7.00,1.00,42.40,8.72,1.00,5.00,42.30,9.08,60.74,13.18,-2.13,160.00,198.51,16.20,224.44,14.77,36.41,2.42,233.07,48.73,14.00,0.94,20.91,692.43,82.12,0.59,,8.01,10.25,6.08,7.81,0.79,6029,73,372,30,5,5
814,II,drydown,8,CIP398190.89,,0.00,1.00,1.00,2.00,9.00,16.00,2.00,47.00,1.00,0.63,51.40,91.00,3.00,34.00,2.00,5.94,126.00,48.20,132.00,3.00,1.00,42.30,6.51,5.00,7.00,39.70,6.18,53.54,,-3.13,132.00,81.47,8.42,97.86,7.44,21.52,1.89,102.13,22.76,8.00,0.90,22.29,302.98,40.51,0.56,,3.67,11.04,6.20,1.18,0.03,2941,73,349,28,5,3
815,III,drydown,8,CIP398190.89,,1.00,1.00,1.00,2.00,12.00,22.00,3.00,50.00,1.00,0.62,54.30,100.00,1.00,40.00,3.00,6.22,125.00,48.80,134.00,3.00,3.00,45.40,5.48,7.00,7.00,39.20,5.61,52.73,,-3.00,132.00,56.29,10.68,100.47,11.27,16.76,2.18,145.63,30.86,16.00,0.79,21.19,319.15,54.99,0.56,,5.63,9.77,5.49,3.03,0.02,,,,25,5,3
817,IV,drydown,8,CIP398190.89,,0.00,1.00,1.00,2.00,8.00,19.00,2.00,46.00,1.00,0.53,54.20,87.00,3.00,33.00,2.00,5.57,116.00,46.60,123.00,3.00,1.00,42.00,5.37,5.00,7.00,40.50,5.43,51.29,,-2.83,121.00,62.62,7.84,71.53,6.58,21.51,1.92,115.56,26.09,4.00,0.92,22.58,271.22,42.43,0.61,,4.12,10.30,6.33,1.56,0.00,2541,60,324,32,5,3
818,IV,wellwater,8,CIP398190.89,,1.00,1.00,1.00,1.00,7.00,8.00,1.00,27.00,1.00,0.48,53.90,62.00,1.00,12.00,1.00,5.05,95.00,43.20,116.00,3.00,1.00,39.50,5.38,1.00,5.00,35.30,5.27,78.15,34.37,-1.97,115.00,107.94,8.94,79.77,5.03,11.82,0.80,128.54,20.38,7.00,1.53,15.85,328.07,35.15,0.58,128.02,3.29,10.68,6.19,3.07,0.85,4743,135,531,35,3,1
819,V,drydown,8,CIP398190.89,,0.00,1.00,1.00,1.00,7.00,11.00,1.00,53.00,3.00,0.77,56.90,95.00,3.00,27.00,1.00,7.04,120.00,45.80,122.00,3.00,1.00,41.60,7.27,3.00,5.00,39.70,7.19,60.11,,-2.63,125.00,83.38,8.11,61.48,6.36,21.16,1.50,138.43,31.69,4.00,1.03,22.89,304.45,47.66,0.66,,3.50,13.62,9.06,0.98,0.08,2909,61,359,28,5,3
820,V,wellwater,8,CIP398190.89,,1.00,1.00,1.00,1.00,9.00,12.00,1.00,54.00,3.00,0.80,61.00,103.00,5.00,40.00,1.00,8.16,130.00,47.10,155.00,7.00,3.00,41.30,8.39,3.00,7.00,38.30,8.80,75.17,20.03,-2.87,158.00,107.64,10.54,190.62,11.74,23.40,1.72,244.24,34.49,11.00,0.78,14.12,565.90,58.49,0.59,91.88,7.17,8.15,4.81,6.97,0.86,4249,73,403,25,5,5
822,I,wellwater,9,CIP398192.592,,1.00,1.00,1.00,2.00,17.00,32.00,4.00,68.00,3.00,0.82,50.00,120.00,3.00,48.00,4.00,7.35,153.00,46.70,170.00,5.00,3.00,39.60,7.86,3.00,7.00,41.00,7.45,63.83,2.52,-2.10,166.00,214.77,19.18,262.88,19.60,81.74,4.62,238.80,40.62,7.00,0.79,17.01,798.19,84.02,0.48,54.68,8.82,9.52,4.60,8.62,0.80,7194,86,375,40,7,7
824,I,drydown,9,CIP398192.592,,1.00,1.00,1.00,3.00,24.00,28.00,3.00,67.00,3.00,0.68,56.30,110.00,3.00,56.00,3.00,7.36,138.00,45.00,152.00,3.00,1.00,39.20,6.79,5.00,7.00,42.50,6.45,62.22,,-2.50,152.00,107.02,13.16,118.92,13.91,64.44,6.17,93.24,22.21,11.00,0.66,23.82,383.62,55.45,0.40,,4.89,11.35,4.55,2.39,0.01,,,,35,7,7
826,II,drydown,9,CIP398192.592,,1.00,1.00,1.00,2.00,12.00,38.00,6.00,57.00,1.00,0.73,47.00,96.00,6.00,47.00,6.00,6.26,129.00,44.30,140.00,3.00,3.00,40.90,5.60,7.00,7.00,39.70,5.47,54.79,,-3.20,128.00,93.88,14.70,129.96,16.82,55.66,6.47,108.75,23.44,27.00,0.63,21.55,388.25,61.43,0.38,,6.32,9.73,3.71,3.75,-0.03,2439,40,166,40,7,3
827,II,wellwater,9,CIP398192.592,,1.00,1.00,1.00,2.00,20.00,24.00,2.00,59.00,3.00,0.63,56.50,113.00,2.00,36.00,2.00,6.37,148.00,48.60,164.00,5.00,1.00,41.10,6.74,1.00,5.00,39.70,7.16,69.17,20.79,-1.97,162.00,198.77,14.90,199.32,17.81,80.83,5.03,189.11,31.66,12.00,0.65,16.74,668.03,69.40,0.46,74.04,7.92,8.76,4.00,7.72,0.78,6111,88,410,35,7,7
829,III,wellwater,9,CIP398192.592,,1.00,1.00,1.00,2.00,20.00,17.00,2.00,60.00,1.00,0.65,58.70,100.00,2.00,31.00,2.00,7.27,128.00,44.70,154.00,5.00,1.00,43.00,7.63,1.00,7.00,39.60,8.66,62.34,2.29,-2.07,161.00,206.82,19.55,208.10,19.78,96.37,6.24,279.44,53.58,19.00,0.75,19.17,790.73,99.15,0.54,35.85,10.36,9.57,5.17,10.16,0.74,7164,72,366,40,7,7
830,IV,wellwater,9,CIP398192.592,,1.00,1.00,1.00,1.00,18.00,15.00,1.00,61.00,5.00,0.86,57.70,105.00,1.00,31.00,1.00,8.80,135.00,42.50,160.00,7.00,1.00,39.80,8.69,1.00,5.00,36.50,9.99,67.87,23.32,-2.27,172.00,223.58,18.97,249.46,19.87,114.34,7.36,176.81,34.09,7.00,0.70,19.28,764.19,80.29,0.42,59.96,9.29,8.64,3.67,9.09,0.75,8013,100,422,40,7,7
831,V,wellwater,9,CIP398192.592,,1.00,1.00,1.00,2.00,18.00,23.00,2.00,69.00,3.00,0.85,54.80,123.00,2.00,43.00,2.00,8.19,152.00,44.10,175.00,5.00,1.00,41.00,8.69,1.00,5.00,35.90,9.09,68.47,13.06,-2.63,158.00,241.18,20.24,217.59,17.61,82.07,5.35,354.13,61.34,15.00,0.88,17.32,894.97,104.54,0.59,,11.32,9.23,5.42,11.12,0.75,8604,82,425,40,7,7
832,III,drydown,9,CIP398192.592,,1.00,1.00,1.00,2.00,16.00,15.00,2.00,53.00,1.00,0.59,52.90,86.00,2.00,28.00,2.00,5.77,117.00,45.80,140.00,3.00,1.00,43.80,6.45,3.00,5.00,40.90,6.80,60.91,,-3.10,138.00,106.43,11.78,92.99,9.19,62.35,5.48,86.02,19.21,16.00,0.80,22.33,347.79,45.66,0.42,,4.47,10.22,4.30,1.90,-0.01,2425,53,206,40,7,7
834,IV,drydown,9,CIP398192.592,,1.00,1.00,1.00,3.00,16.00,25.00,3.00,55.00,1.00,0.55,51.60,101.00,3.00,36.00,3.00,5.65,127.00,50.50,144.00,3.00,1.00,39.20,5.78,5.00,7.00,45.50,5.94,52.04,,-3.03,148.00,91.13,12.61,92.53,12.30,35.33,4.06,86.33,20.44,16.00,0.77,23.68,305.32,49.41,0.41,,5.49,9.00,3.72,2.84,-0.05,,,,,,
835,V,drydown,9,CIP398192.592,,1.00,1.00,1.00,2.00,18.00,15.00,1.00,65.00,5.00,0.88,56.30,112.00,1.00,34.00,1.00,8.62,143.00,49.70,140.00,7.00,1.00,51.30,8.70,5.00,7.00,46.80,8.69,59.53,,-3.13,158.00,80.81,11.42,116.82,14.22,42.20,4.65,,,,0.61,,239.83,30.29,0.00,,5.48,5.52,,2.94,-0.05,2488,82,218,35,7,7
851,I,wellwater,10,CIP398201.510,,1.00,1.00,1.00,4.00,16.00,32.00,4.00,45.00,3.00,0.58,56.40,79.00,4.00,59.00,4.00,6.11,110.00,49.80,133.00,3.00,3.00,43.10,6.70,1.00,5.00,48.50,6.61,72.77,15.06,-1.73,140.00,222.60,18.58,201.86,12.52,112.96,6.40,181.18,25.48,23.00,0.98,14.06,718.60,62.98,0.40,15.89,7.51,8.38,3.39,7.31,0.83,6998,111,377,35,7,7
853,I,drydown,10,CIP398201.510,,1.00,1.00,1.00,1.00,9.00,10.00,1.00,31.00,3.00,0.60,60.00,57.00,1.00,18.00,1.00,5.94,80.00,56.30,108.00,3.00,1.00,56.00,7.01,1.00,5.00,54.40,7.25,61.81,,-2.33,114.00,78.68,7.69,66.60,5.14,88.59,5.44,30.82,4.05,7.00,0.73,13.14,264.69,22.32,0.18,,2.42,9.21,1.67,0.36,0.19,2320,104,302,40,5,5
854,II,drydown,10,CIP398201.510,,1.00,1.00,1.00,1.00,18.00,14.00,1.00,44.00,5.00,0.81,63.10,77.00,1.00,28.00,1.00,8.31,103.00,54.00,123.00,7.00,1.00,54.00,8.65,3.00,5.00,48.30,9.27,51.05,,-2.93,123.00,109.22,12.76,117.46,10.31,112.40,6.95,54.10,10.52,,0.74,19.45,393.18,40.54,0.26,,4.07,9.97,2.59,1.55,0.04,2279,56,179,45,7,7
855,III,drydown,10,CIP398201.510,,1.00,1.00,1.00,2.00,18.00,24.00,2.00,44.00,3.00,0.68,64.50,71.00,2.00,38.00,2.00,5.83,93.00,54.10,115.00,5.00,1.00,56.70,8.02,5.00,5.00,58.60,7.22,53.00,,-2.80,114.00,108.54,14.07,108.22,10.10,96.57,8.50,69.82,14.55,13.00,0.76,20.84,383.15,47.22,0.31,,4.62,10.22,3.15,2.07,0.01,2551,54,181,40,7,7
856,IV,drydown,10,CIP398201.510,,1.00,1.00,1.00,1.00,17.00,15.00,1.00,42.00,3.00,0.75,64.20,71.00,1.00,29.00,1.00,8.37,90.00,50.90,110.00,5.00,1.00,55.10,8.33,3.00,5.00,44.50,8.29,47.79,,-2.57,112.00,86.66,12.12,83.84,8.44,62.20,6.12,80.50,17.49,11.00,0.83,21.73,313.20,44.17,0.40,,4.44,9.96,3.94,1.73,-0.07,2021,46,167,40,7,7
859,V,drydown,10,CIP398201.510,,1.00,1.00,1.00,2.00,15.00,23.00,3.00,39.00,3.00,0.69,64.20,64.00,3.00,38.00,3.00,7.27,87.00,52.20,104.00,5.00,1.00,53.30,6.75,3.00,5.00,52.80,6.88,48.54,,-2.93,104.00,95.52,11.25,85.57,8.17,67.65,5.47,88.47,18.90,22.00,0.82,21.36,337.21,43.79,0.43,,3.65,12.00,5.18,1.11,0.00,2698,62,240,40,7,7
861,II,wellwater,10,CIP398201.510,,1.00,1.00,1.00,3.00,17.00,27.00,3.00,42.00,5.00,0.70,61.30,71.00,3.00,42.00,3.00,7.00,98.00,48.90,130.00,5.00,1.00,44.30,7.94,1.00,5.00,44.00,8.31,68.77,25.76,-2.03,138.00,219.56,18.63,196.25,12.48,116.86,6.45,157.85,21.96,12.00,0.98,13.91,690.52,59.52,0.37,47.91,6.75,8.82,3.25,6.55,0.76,7310,123,392,40,7,7
862,III,wellwater,10,CIP398201.510,,1.00,1.00,1.00,1.00,17.00,15.00,1.00,41.00,5.00,0.70,62.40,72.00,3.00,30.00,3.00,7.19,96.00,44.40,130.00,5.00,1.00,44.60,8.90,1.00,5.00,39.40,9.41,58.45,9.34,-2.67,133.00,205.16,16.92,161.43,11.61,95.30,5.56,240.69,39.26,15.00,0.99,16.31,702.58,73.35,0.54,,8.85,8.29,4.44,8.65,0.78,7013,96,414,40,7,7
864,IV,wellwater,10,CIP398201.510,,1.00,1.00,1.00,2.00,17.00,24.00,2.00,44.00,3.00,0.64,60.70,66.00,2.00,40.00,2.00,6.33,90.00,48.80,124.00,5.00,1.00,47.20,7.37,1.00,5.00,48.10,34.07,62.46,23.49,-2.63,135.00,230.82,20.29,187.13,14.28,130.53,7.33,188.55,26.72,6.00,0.94,14.17,737.03,68.62,0.39,65.46,7.11,9.65,3.76,6.91,0.74,7644,111,377,35,7,7
865,V,wellwater,10,CIP398201.510,,1.00,1.00,1.00,2.00,9.00,20.00,2.00,33.00,3.00,0.55,62.80,59.00,2.00,33.00,2.00,5.55,86.00,49.80,114.00,5.00,1.00,46.20,6.67,1.00,5.00,45.30,6.86,62.03,21.75,-2.57,123.00,224.80,17.83,159.54,11.18,109.73,6.27,215.75,28.52,13.00,1.02,13.22,709.82,63.80,0.45,66.27,7.07,9.02,4.03,6.87,0.73,7470,117,419,40,9,9
866,I,wellwater,11,CIP398203.244,,1.00,1.00,1.00,2.00,29.00,26.00,2.00,59.00,5.00,0.79,60.50,107.00,2.00,43.00,2.00,9.01,137.00,53.50,166.00,7.00,1.00,46.40,8.79,3.00,5.00,48.80,9.13,67.52,15.42,-2.07,174.00,246.33,21.92,328.40,26.46,65.11,4.82,75.14,12.21,9.00,0.70,16.25,714.98,65.41,0.19,42.34,7.42,8.82,1.65,7.22,0.83,6857,105,313,30,7,7
867,II,wellwater,11,CIP398203.244,,1.00,1.00,1.00,1.00,25.00,15.00,1.00,54.00,5.00,0.69,63.90,93.00,1.00,28.00,1.00,8.22,117.00,51.40,163.00,5.00,1.00,47.70,8.61,3.00,5.00,46.30,9.07,71.26,16.10,-2.33,175.00,239.46,21.90,315.56,24.35,51.51,4.02,64.05,9.58,3.00,0.77,14.96,670.58,59.85,0.16,24.74,6.33,9.46,1.51,6.13,0.81,6939,116,317,40,5,7
868,III,wellwater,11,CIP398203.244,,1.00,1.00,1.00,1.00,27.00,16.00,1.00,54.00,3.00,0.80,64.30,93.00,1.00,29.00,1.00,7.97,122.00,48.00,172.00,5.00,1.00,48.10,9.19,1.00,5.00,47.00,9.38,64.75,10.37,,178.00,246.19,23.37,317.25,29.49,88.60,6.63,97.32,15.66,14.00,0.65,16.09,749.36,75.15,0.21,27.59,7.52,9.99,2.08,7.32,0.77,6577,88,281,40,7,7
869,I,drydown,11,CIP398203.244,,1.00,1.00,1.00,4.00,24.00,34.00,4.00,54.00,3.00,0.73,59.70,89.00,4.00,57.00,4.00,7.28,114.00,55.90,143.00,3.00,3.00,62.00,7.60,5.00,5.00,52.70,7.67,57.10,,-2.53,141.00,141.26,17.62,176.49,16.22,54.24,5.57,23.91,5.17,3.00,0.81,21.62,395.90,44.58,0.12,,4.10,10.88,1.26,1.57,0.00,3382,76,192,40,7,7
870,II,drydown,11,CIP398203.244,,1.00,1.00,1.00,3.00,25.00,30.00,3.00,57.00,5.00,0.79,61.00,100.00,3.00,50.00,3.00,7.66,130.00,56.60,155.00,5.00,3.00,56.80,8.17,5.00,5.00,57.50,8.53,59.79,,-3.23,150.00,149.09,19.89,220.09,21.19,57.05,4.04,10.55,2.37,2.00,0.79,22.46,436.78,47.49,0.05,,4.36,10.88,0.54,1.86,0.00,3199,67,161,,,
873,III,drydown,11,CIP398203.244,,1.00,1.00,1.00,1.00,20.00,16.00,1.00,51.00,5.00,0.74,64.20,91.00,1.00,28.00,1.00,8.34,120.00,51.00,150.00,5.00,1.00,55.40,9.11,5.00,5.00,53.10,9.34,58.03,,-2.93,157.00,123.82,14.82,178.63,17.45,49.87,5.18,20.61,4.32,3.00,0.65,20.96,372.93,41.77,0.10,,3.94,10.59,1.10,1.28,-0.03,,,,40,5,7
874,IV,drydown,11,CIP398203.244,,1.00,1.00,1.00,3.00,15.00,22.00,3.00,47.00,3.00,0.59,53.30,86.00,2.00,36.00,2.00,6.07,115.00,51.40,155.00,3.00,1.00,54.60,6.66,5.00,5.00,54.20,6.71,62.77,,-2.27,154.00,127.64,16.19,177.85,17.45,42.35,4.64,24.48,5.68,5.00,0.73,23.20,372.32,43.96,0.13,,4.57,9.61,1.24,1.93,-0.02,3550,81,219,35,7,7
875,IV,wellwater,11,CIP398203.244,,1.00,1.00,1.00,2.00,29.00,24.00,2.00,62.00,5.00,0.82,64.70,114.00,2.00,37.00,2.00,8.25,140.00,53.80,162.00,5.00,1.00,50.10,9.03,3.00,5.00,48.60,9.51,62.10,-1.09,-1.87,174.00,286.17,26.84,352.99,33.52,100.07,8.33,179.67,34.79,6.00,0.64,19.36,918.90,103.48,0.34,,10.27,10.08,3.39,10.07,0.79,7864,76,293,40,7,7
876,V,drydown,11,CIP398203.244,,1.00,1.00,1.00,2.00,26.00,20.00,2.00,51.00,3.00,0.58,58.30,83.00,2.00,34.00,2.00,6.13,98.00,54.80,152.00,3.00,1.00,53.10,6.57,3.00,5.00,55.30,7.03,60.17,,-2.27,133.00,117.03,14.81,115.62,13.12,42.04,4.46,57.00,12.78,5.00,0.84,22.42,331.69,45.17,0.28,,3.71,12.17,3.44,1.03,-0.06,3160,70,213,40,5,7
879,V,wellwater,11,CIP398203.244,,1.00,1.00,1.00,3.00,19.00,27.00,3.00,49.00,3.00,0.53,54.90,85.00,3.00,41.00,3.00,5.61,110.00,53.30,152.00,5.00,1.00,46.80,6.47,3.00,5.00,42.40,6.00,70.46,14.61,-2.00,177.00,285.32,22.91,314.97,23.77,54.01,3.97,89.91,13.72,10.00,0.83,15.26,744.21,64.37,0.21,,7.23,8.91,1.90,7.03,0.78,9040,140,395,30,7,7
881,I,wellwater,12,CIP398203.5,LM06092013,1.00,1.00,1.00,2.00,19.00,22.00,2.00,54.00,5.00,0.73,52.70,86.00,2.00,33.00,2.00,7.61,108.00,45.70,146.00,5.00,1.00,39.30,7.83,1.00,5.00,39.80,7.65,73.44,11.57,-2.07,151.00,130.31,11.16,135.66,8.54,25.71,1.75,86.04,13.17,8.00,1.08,15.31,377.72,34.62,0.38,,4.14,8.37,3.18,3.94,0.85,4631,134,415,30,5,3
883,II,wellwater,12,CIP398203.5,LM06092013,1.00,1.00,1.00,3.00,19.00,28.00,3.00,49.00,3.00,0.62,51.00,83.00,2.00,44.00,2.00,6.49,110.00,49.20,154.00,3.00,1.00,43.60,6.16,1.00,5.00,39.90,6.22,67.33,6.20,-2.50,152.00,193.24,15.66,179.72,12.58,31.16,2.50,187.78,29.09,13.00,1.04,15.49,591.90,59.83,0.49,35.06,6.94,8.62,4.19,6.74,0.75,6478,108,414,35,7,5
884,I,drydown,12,CIP398203.5,LM06092013,1.00,1.00,1.00,2.00,21.00,17.00,2.00,50.00,5.00,0.70,55.50,84.00,2.00,36.00,2.00,7.34,104.00,49.70,120.00,3.00,1.00,47.10,8.04,3.00,5.00,44.20,7.87,64.94,,-2.40,123.00,92.95,8.84,87.93,6.58,24.82,2.00,70.77,13.51,7.00,1.03,19.09,276.47,30.93,0.44,,2.90,10.65,4.65,0.55,0.10,2450,79,277,40,5,1
885,III,wellwater,12,CIP398203.5,LM06092013,1.00,1.00,1.00,1.00,27.00,14.00,1.00,59.00,3.00,0.71,51.60,91.00,1.00,43.00,1.00,7.13,115.00,47.50,155.00,5.00,1.00,42.20,7.17,1.00,5.00,41.40,7.50,64.26,6.99,-2.00,155.00,172.60,15.03,170.35,12.12,24.49,1.81,170.08,27.18,11.00,1.08,15.98,537.52,56.14,0.48,61.81,6.36,8.83,4.28,6.14,0.82,5163,92,343,35,5,3
887,IV,wellwater,12,CIP398203.5,LM06092013,1.00,1.00,1.00,3.00,25.00,30.00,3.00,55.00,3.00,0.70,52.60,89.00,3.00,51.00,2.00,6.73,118.00,45.60,155.00,5.00,1.00,40.90,7.19,1.00,5.00,37.60,7.22,71.55,11.72,-2.00,162.00,212.67,17.71,216.80,14.01,33.76,2.48,156.96,25.48,14.00,1.07,16.23,620.19,59.68,0.43,69.35,7.04,8.48,3.62,6.84,0.81,7392,124,417,35,5,3
888,II,drydown,12,CIP398203.5,LM06092013,1.00,1.00,1.00,1.00,20.00,13.00,1.00,53.00,5.00,0.77,53.10,85.00,3.00,30.00,1.00,7.29,100.00,48.50,123.00,5.00,1.00,43.60,7.85,1.00,5.00,42.90,7.54,63.15,,-2.83,133.00,87.53,9.51,106.35,8.46,30.99,2.13,59.12,10.20,9.00,0.90,17.25,283.99,30.30,0.34,,2.86,10.58,3.56,0.40,0.05,2966,98,312,30,5,3
889,III,drydown,12,CIP398203.5,LM06092013,0.00,1.00,1.00,3.00,14.00,30.00,4.00,49.00,3.00,0.60,51.90,79.00,3.00,55.00,4.00,5.78,118.00,47.60,127.00,3.00,1.00,43.90,6.43,3.00,5.00,44.90,6.33,59.77,,-2.80,127.00,95.24,10.35,120.58,9.76,30.50,4.15,78.46,16.80,11.00,0.74,21.41,324.78,41.06,0.41,,3.83,10.72,4.39,1.34,0.03,2487,61,240,35,5,3
890,V,wellwater,12,CIP398203.5,LM06092013,1.00,1.00,1.00,2.00,25.00,22.00,2.00,55.00,3.00,0.77,51.40,88.00,3.00,40.00,2.00,7.73,112.00,47.30,147.00,7.00,1.00,41.70,8.07,1.00,5.00,41.10,7.91,69.75,6.82,-2.37,150.00,178.81,16.00,171.23,12.14,28.49,2.37,183.78,30.23,10.00,1.10,16.45,562.31,60.74,0.50,44.39,6.33,9.60,4.78,6.13,0.77,5234,86,327,30,5,3
892,IV,drydown,12,CIP398203.5,LM06092013,1.00,1.00,1.00,1.00,16.00,16.00,1.00,47.00,3.00,0.78,52.70,83.00,5.00,36.00,1.00,7.28,108.00,49.80,135.00,5.00,1.00,45.90,7.65,3.00,5.00,47.90,7.74,63.16,,-3.03,137.00,83.59,9.42,102.71,8.63,24.16,2.10,80.07,17.67,13.00,0.88,22.07,290.53,37.82,0.47,,3.54,10.69,4.99,1.03,0.00,2619,69,278,35,5,3
895,V,drydown,12,CIP398203.5,LM06092013,1.00,1.00,1.00,2.00,23.00,26.00,2.00,50.00,3.00,0.63,57.80,84.00,3.00,41.00,2.00,6.64,105.00,47.60,133.00,3.00,1.00,43.20,7.15,3.00,5.00,44.20,6.68,65.00,,-2.37,134.00,100.03,9.81,91.50,8.39,24.48,2.04,62.90,13.42,,0.94,21.34,278.91,33.66,0.40,,3.55,9.49,3.78,1.00,0.02,3063,91,312,35,3,1
898,I,wellwater,13,CIP398208.219,LM06092013,1.00,1.00,1.00,3.00,20.00,21.00,3.00,49.00,1.00,0.44,43.80,83.00,3.00,35.00,3.00,5.05,120.00,39.50,155.00,3.00,1.00,39.70,6.09,1.00,5.00,34.50,5.57,78.23,29.03,-2.00,157.00,183.88,14.70,186.28,12.80,23.19,1.59,124.68,18.95,10.00,1.02,15.20,518.03,48.04,0.39,,5.68,8.45,3.34,5.48,0.83,8569,178,583,,,
899,II,wellwater,13,CIP398208.219,LM06092013,1.00,1.00,1.00,3.00,13.00,28.00,3.00,67.00,5.00,0.83,48.80,114.00,5.00,67.00,3.00,7.60,140.00,36.50,155.00,7.00,1.00,36.40,8.13,1.00,5.00,33.30,8.32,72.21,16.24,-2.27,161.00,266.27,20.38,283.32,20.75,57.83,3.44,245.01,46.89,15.00,0.84,19.14,852.43,91.46,0.51,58.69,9.34,9.79,5.02,9.14,0.77,10812,118,531,30,5,7
901,III,wellwater,13,CIP398208.219,LM06092013,1.00,1.00,1.00,5.00,28.00,42.00,5.00,81.00,3.00,0.70,48.10,125.00,3.00,93.00,5.00,7.02,154.00,40.50,160.00,5.00,1.00,36.20,6.99,3.00,7.00,33.90,6.90,75.63,34.54,-2.33,156.00,214.35,19.78,245.79,19.29,30.38,2.58,353.95,76.86,12.00,0.90,21.71,844.47,118.51,0.65,35.05,10.40,11.40,7.39,10.20,0.81,8867,75,448,28,5,3
902,I,drydown,13,CIP398208.219,LM06092013,0.00,1.00,1.00,1.00,20.00,30.00,2.00,66.00,7.00,0.92,47.90,103.00,5.00,73.00,2.00,9.29,127.00,42.50,136.00,7.00,3.00,40.40,8.46,5.00,7.00,39.90,6.43,55.51,,-3.10,138.00,105.37,13.55,140.40,13.73,27.68,2.85,112.56,25.92,7.00,0.82,23.03,386.01,56.05,0.46,,5.40,10.38,4.80,2.86,-0.01,3010,54,222,30,3,1
903,II,drydown,13,CIP398208.219,LM06092013,1.00,1.00,1.00,3.00,28.00,27.00,3.00,72.00,5.00,0.70,45.20,120.00,3.00,51.00,3.00,7.78,148.00,41.50,150.00,3.00,3.00,43.80,7.53,7.00,7.00,42.40,7.19,60.49,,-3.07,163.00,95.11,14.10,126.00,15.02,20.63,0.52,123.54,27.52,8.00,0.91,22.28,365.28,57.16,0.48,,5.49,10.41,5.01,3.02,0.03,2511,44,178,28,7,5
905,III,drydown,13,CIP398208.219,LM06092013,1.00,1.00,1.00,2.00,20.00,19.00,2.00,63.00,3.00,0.58,45.80,110.00,3.00,43.00,2.00,6.48,135.00,40.40,142.00,5.00,3.00,37.70,6.86,7.00,7.00,38.50,6.92,49.50,,-3.33,146.00,98.29,13.52,108.94,12.53,36.85,3.68,110.10,26.94,8.00,0.83,24.47,354.18,56.67,0.48,,4.88,11.61,5.52,2.32,-0.04,3264,58,241,30,5,7
906,IV,drydown,13,CIP398208.219,LM06092013,1.00,1.00,1.00,2.00,19.00,20.00,2.00,66.00,3.00,0.70,48.20,101.00,5.00,50.00,2.00,7.09,135.00,43.30,140.00,5.00,3.00,44.10,6.84,7.00,7.00,39.90,7.25,56.19,,-3.27,142.00,75.55,11.68,113.81,12.56,16.62,1.96,106.45,26.66,6.00,0.80,25.04,312.43,52.86,0.50,,4.92,10.74,5.41,2.48,-0.01,2890,55,247,28,5,5
907,IV,wellwater,13,CIP398208.219,LM06092013,1.00,1.00,1.00,3.00,21.00,21.00,3.00,69.00,3.00,0.67,51.10,112.00,3.00,61.00,3.00,7.26,136.00,43.40,152.00,3.00,1.00,37.20,7.41,1.00,5.00,35.50,7.35,71.44,21.34,-2.07,148.00,266.99,22.19,246.93,18.84,49.82,3.24,294.58,57.32,16.00,1.00,19.46,858.32,101.59,0.56,46.51,10.19,9.97,5.63,9.99,0.81,10306,101,464,28,5,7
